neighbourhood,latlong
Palermo,"-34.5733577,-58.4560348"
Recoleta,"-34.584752,-58.4313622"
San Nicolás,"-34.6038852,-58.397801"
Retiro,"-34.5893613,-58.3942979"
Belgrano,"-34.5553941,-58.4858054"
Monserrat,"-34.6125221,-58.3968517"
San Telmo,"-34.6225422,-58.3790128"
Balvanera,"-34.609286,-58.4206688"
Almagro,"-34.6098519,-58.440136"
Villa Crespo,"-34.5980347,-58.4586582"
Colegiales,"-34.5746134,-58.4691568"
Núñez,"-34.5427008,-58.4786042"
Chacarita,"-34.588028,-58.4703379"
Caballito,"-34.6166197,-58.4622398"
Puerto Madero,"-34.6135871,-58.3697784"
Villa Urquiza,"-34.5718855,-58.5237661"
Barracas,"-34.6444877,-58.4020787"
Constitución,"-34.6257703,-58.3923897"
Saavedra,"-34.5542735,-58.5241792"
La Boca,"-34.6375704,-58.3704502"
Boedo,"-34.6304032,-58.4278968"
Flores,"-34.6352879,-58.4926342"
Villa Ortúzar,"-34.5814875,-58.4774425"
San Cristóbal,"-34.6242208,-58.4193663"
Villa Devoto,"-34.6005103,-58.5307422"
Coghlan,"-34.5601734,-58.4838226"
Parque Patricios,"-34.6377998,-58.4191685"
Parque Chas,"-34.5848616,-58.4885613"
Villa del Parque,"-34.605877,-58.507554"
Agronomía,"-34.5922079,-58.5071862"
Parque Chacabuco,"-34.6371388,-58.4564445"
Villa Pueyrredón,"-34.581826,-58.5195592"
Floresta,"-34.6277824,-58.5022615"
Villa General Mitre,"-34.6104712,-58.4869517"
La Paternal,"-34.5963428,-58.4850432"
Liniers,"-34.6449487,-58.5336128"
Villa Luro,"-34.6350072,-58.5196036"
Vélez Sársfield,"-34.6312986,-58.5104291"
Parque Avellaneda,"-34.6507542,-58.4953383"
Villa Santa Rita,"-34.6163417,-58.5007129"
Nueva Pompeya,"-34.6500195,-58.4569458"
Monte Castro,"-34.6187514,-58.5246421"
Mataderos,"-34.6588467,-58.5373009"
Versalles,"-34.6291359,-58.536848"
Villa Real,"-34.6190935,-58.5329892"
