Neighbourhood,cult,food,sport,ent,bank,bar,utl,center,house,store,market,commute
Agronomía,0,13,0,0,0,2,0,3,0,0,0,2
Almagro,0,23,0,0,0,1,1,2,0,0,2,1
Balvanera,1,19,0,3,0,5,1,1,0,0,0,0
Barracas,0,1,0,1,0,1,0,0,0,0,0,0
Belgrano,1,9,0,2,0,0,1,1,0,1,2,2
Boedo,2,7,4,0,0,2,1,1,0,1,1,1
Caballito,3,10,0,1,0,0,0,2,0,1,1,0
Chacarita,0,1,2,0,0,0,2,0,0,1,0,0
Coghlan,3,4,1,1,0,1,0,0,0,0,0,1
Colegiales,0,15,0,0,0,1,0,0,0,0,2,0
Constitución,1,5,0,1,1,0,0,1,0,1,0,1
Flores,0,6,1,0,0,0,0,0,0,0,2,0
Floresta,0,2,0,0,0,0,0,0,0,0,0,2
La Boca,2,15,0,0,0,0,0,1,0,2,2,0
La Paternal,2,2,2,1,0,1,0,1,0,1,1,1
Liniers,0,1,1,0,0,0,0,0,0,2,0,0
Mataderos,0,0,1,0,0,0,0,0,0,2,0,1
Monserrat,0,21,0,2,0,3,0,2,1,1,0,0
Monte Castro,2,3,1,0,0,0,1,4,0,0,1,4
Nueva Pompeya,0,1,2,0,0,0,0,0,0,0,1,0
Núñez,1,7,0,0,0,0,0,0,0,0,1,1
Palermo,0,22,0,0,0,5,0,0,0,2,1,0
Parque Avellaneda,0,3,0,0,0,0,0,0,0,0,1,0
Parque Chacabuco,0,3,1,0,0,0,0,1,0,1,0,1
Parque Chas,0,5,1,0,0,0,0,0,1,1,0,0
Parque Patricios,2,5,2,0,0,0,0,1,0,1,0,2
Puerto Madero,3,10,0,4,0,6,0,2,3,0,2,0
Recoleta,2,16,1,0,0,8,0,1,2,0,0,0
Retiro,2,16,0,0,0,4,0,2,6,0,0,0
San Cristóbal,1,19,2,0,0,3,1,0,0,1,1,1
San Nicolás,2,17,0,3,0,2,1,4,1,0,0,0
San Telmo,0,5,0,0,0,1,1,2,3,0,0,0
Versalles,0,1,0,0,0,0,0,1,0,1,0,0
Villa Crespo,2,2,1,0,0,0,0,2,0,0,0,0
Villa Devoto,1,3,0,1,0,1,0,1,0,1,1,0
Villa General Mitre,1,5,0,1,0,0,0,1,0,0,0,0
Villa Luro,0,2,3,0,0,0,1,2,1,1,2,1
Villa Ortúzar,2,9,0,0,0,1,0,3,0,1,1,0
Villa Pueyrredón,1,0,1,0,0,0,1,1,0,0,0,1
Villa Real,2,2,1,0,0,0,0,0,0,0,0,2
Villa Santa Rita,1,6,0,0,0,0,0,0,0,0,0,1
Villa Urquiza,0,2,0,0,0,0,0,0,0,1,0,0
Villa del Parque,0,6,0,0,0,2,0,1,0,1,1,0
Vélez Sársfield,1,1,1,0,0,0,0,1,0,0,0,0
