id,neighbourhood,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,host_since,host_is_superhost,bathrooms,bedrooms,beds,bed_type,cleaning_fee,guests_included,extra_people,maximum_nights,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,price
727,Palermo,Entire home/apt,1,170,5/12/20,2.48,4,346,8/1/13,t,1,0,1,Real Bed,2092,1,0,365,t,f,strict_14_with_grace_period,f,f,2
6274,Colegiales,Private room,1,11,7/1/19,0.57,1,0,2/14/14,t,1,1,1,Real Bed,558,1,0,15,f,f,moderate,f,f,1
6025,Recoleta,Entire home/apt,3,2,11/23/19,0.08,19,360,10/19/17,f,1,0,1,Real Bed,1052,3,351,90,t,f,moderate,f,f,3
8931,Recoleta,Entire home/apt,2,1,11/1/19,0.13,1,267,2/1/19,f,1,1,3,Real Bed,0,4,0,1125,t,f,flexible,f,f,2
7524,San Nicolás,Entire home/apt,2,31,12/26/19,1.54,5,365,1/24/15,t,1,1,3,Real Bed,2092,1,0,365,t,f,moderate,f,f,3
5509,Caballito,Entire home/apt,1,14,3/16/20,0.51,1,360,5/17/16,f,1,1,1,Real Bed,699,1,0,7,f,f,moderate,f,f,1
10070,Núñez,Entire home/apt,8,5,7/15/19,0.35,1,0,9/16/14,f,1,2,2,Real Bed,900,1,0,1125,f,f,flexible,f,f,1
1102,Balvanera,Entire home/apt,5,12,5/30/19,0.18,58,334,6/10/12,f,1,1,2,Real Bed,2103,2,1052,1125,t,f,flexible,f,f,2
4510,Palermo,Entire home/apt,5,16,7/19/18,0.45,1,87,5/23/16,f,1,1,1,Real Bed,1402,1,701,1122,t,f,flexible,f,f,4
13794,Constitución,Private room,30,2,6/20/20,1.67,1,360,1/24/18,f,1.5,1,1,Real Bed,0,1,0,90,t,f,flexible,f,f,1
11935,Monserrat,Entire home/apt,1,41,3/18/20,4.66,2,361,9/18/19,t,1,2,4,Real Bed,1052,1,0,30,f,f,strict_14_with_grace_period,f,f,2
